,Faculty,Course,A,A-,B,B-,C,C-,D,W,F,Popularity_score,Difficulty_score,Difficulty_Level
157,Ази судлалын тэнхим,Харьцуулсан хэл шинжлэл (Солонгос-монгол хэл),0.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,11.0,3.6666666666666665,1
158,Ази судлалын тэнхим,Харьцуулсан хэл шинжлэл (солонгос-монгол хэл),1.4,1.2,1.0,1.0,0.2,0.4,1.4,0.8,2.4,9.8,3.7162162162162167,1
159,Ази судлалын тэнхим,Харьцуулсан хэлзүй,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.75,0
160,Ази судлалын тэнхим,Хэвлэл мэдээллийн хятад хэл,1.6,2.2,3.0,1.0,0.0,1.4,1.0,0.8,0.4,11.4,3.645454545454544,1
161,Ази судлалын тэнхим,Хэл ба соёл хоорондын харилцаа,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0
162,Ази судлалын тэнхим,Хэл соёл судлал,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0
163,Ази судлалын тэнхим,Хэл шинжлэлийн судалгааны арга зүй,0.5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,4.222222222222222,1
164,Ази судлалын тэнхим,Хэл шинжлэлийн утга зүй*,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.5,0
165,Ази судлалын тэнхим,Хэл шинжлэлийн утгазүй,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.916666666666667,0
166,Ази судлалын тэнхим,"Хэл эзэмших онол, арга зүй /ХУС-ын мэргэжлийн суурь хичээл/",22.2,33.5,16.8,14.8,3.2,4.3,3.0,9.4,7.8,115.0,3.9580223880597014,1
167,Ази судлалын тэнхим,"Хэлмэрчлэхүйн онол, дадлага",3.8333333333333335,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,4.333333333333333,4.6923076923076925,0
168,Ази судлалын тэнхим,Хэлний гүн ухаан,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1
169,Ази судлалын тэнхим,Хэрэглээний хэл шинжлэл,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.625,0
170,Ази судлалын тэнхим,Хэрэглээний хэл шинжлэл*,4.75,3.25,2.0,0.5,0.0,0.0,0.0,0.75,0.0,11.25,4.344444444444444,0
171,Ази судлалын тэнхим,Хятад хэл,6.4,4.4,1.6,1.5,0.9,0.8,1.6,1.9,0.9,20.0,3.8821989528795813,1
172,Ази судлалын тэнхим,Хятад хэл 1 (Ерөнхий суурь),27.7,25.5,14.4,17.5,9.5,5.2,9.2,16.0,14.3,139.3,3.6983999999999995,1
173,Ази судлалын тэнхим,Хятад хэл 2 (Ерөнхий суурь),7.9,6.6,2.8,1.3,0.9,1.2,1.3,2.2,3.1,27.3,4.072314049586777,1
174,Ази судлалын тэнхим,Хятад хэл 8: HSK 3   ,4.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,11.0,3.6818181818181817,1
175,Ази судлалын тэнхим,Хятад хэл соёл,2.0,3.5,2.0,4.5,2.5,3.5,2.5,1.5,2.5,24.5,3.397727272727273,1
176,Ази судлалын тэнхим,Хятад хэл соёл судлал,4.0,2.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0,16.0,3.65625,1
